id,lat,lon,name
362,-35.416239000000004,149.088005,Clive Steele Av before 2nd Balsillie Cr
363,-35.416298,149.088358,Clive Steele Av before Harkness St
364,-35.41534,149.08956899999998,Monash PS Corlette Cr
365,-35.414164,149.087577,Corlette Cr after Hebblewhite St
366,-35.414787,149.088975,Corlette Cr opp Monash PS
367,-35.414229,149.08727199999998,Corlette Cr opp Hebblewhite St
368,-35.411989,149.087664,Hebblewhite St after Forwood St
369,-35.412096000000005,149.087407,Hebblewhite St before Burnell Pl
370,-35.410713,149.091178,Harricks Cr after 1st Michell St
371,-35.410765000000005,149.09088300000002,Harricks Cr after 1st Michell St
372,-35.408807,149.092679,Harricks Cr after 1st Cracknell St
373,-35.408936,149.092449,Harricks Cr opp 2nd Cracknell St
374,-35.402337,149.09178300000002,Wheeler Cr after Sternberg Cr
375,-35.400526,149.089227,Wheeler Cr before Hanna St
376,-35.402094,149.09179699999999,Wheeler Cr before Sternberg Cr
377,-35.400409,149.089292,Wheeler Cr opp Hanna St
378,-35.398153,149.088372,Wheeler Cr after Guthridge Cr
379,-35.398117,149.088481,Wheeler Cr after Kirkton St
380,-35.394803,149.086693,Wanniassa HS Wheeler Cr
381,-35.394653000000005,149.086594,Wheeler Cr opp Wanniassa HS
382,-35.424738,149.104019,Clift Cr after Ashley Dr
383,-35.424896999999994,149.104043,Clift Cr before Ashley Dr
384,-35.42628,149.107056,29 Clift Cr
385,-35.426372,149.10704199999998,Clift Cr opp 29
386,-35.427562,149.109589,Clift Cr before 2nd Kiddle Cr
387,-35.427624,149.10978,Clift Cr opp 1st Kiddle Cr
388,-35.426282,149.11228799999998,Clift Cr before Heagney Cr
389,-35.426308,149.112478,Clift Cr opp Heagney Cr
390,-35.425383000000004,149.114077,Heagney Cr before Beattie Cr
391,-35.425238,149.114285,Heagney Cr before 2nd Mclorinan St
392,-35.422762,149.112019,Beattie Cr before 2nd McBurney Cr
393,-35.423058000000005,149.112178,Beattie Cr before Swanton St
394,-35.420984000000004,149.113621,Beattie Cr after Hemmings Cr
395,-35.420965,149.113865,Beattie Cr opp Hemmings Cr
396,-35.418313,149.115569,Beattie Cr after Goldstein Cr
397,-35.418601,149.115219,Beattie Cr after 2nd Longman St
398,-35.41387,149.109327,Gowrie Shops Castleton Cr
399,-35.414013,149.109397,Castleton Cr opp Gowrie Shops
400,-35.412065999999996,149.105807,Castleton Cr after 2nd Wheatley St
401,-35.411981,149.105556,Castleton Cr opp 1st Wheatley St
402,-35.409963,149.10488600000002,Castleton Cr before Easterbrook Pl
403,-35.410090000000004,149.104967,Castleton Cr opp Easterbrook Pl
404,-35.407348999999996,149.10646599999998,Castleton Cr after Farcomb Pl
405,-35.407182,149.106505,Castleton Cr after Middleton Cct
406,-35.406056,149.11105600000002,Castleton Cr after Peeler Pl
407,-35.406197,149.111205,Castleton Cr before Wray Pl
408,-35.414471,149.104533,Bugden Av after Mactier Pl
409,-35.414685,149.10460600000002,Bugden Av opp Denehy Pl
410,-35.417136,149.10485500000001,Bugden Av after 1st Dalziel St
411,-35.416934999999995,149.10478700000002,Bugden Av after 1st Stacey St
412,-35.418079,149.10738500000002,Bugden Av after 2nd Dalziel St
413,-35.417955,149.107856,Bugden Av before 1st Ingram St
414,-35.415811,149.10984,Bugden Av after Beardsmore Pl
415,-35.415728,149.110049,Bugden Av before 2nd Galleghan Cct
416,-35.416852,149.117772,Norriss St after 1st Woodburn St
417,-35.416911999999996,149.117961,Norriss St opp 2nd Woodburn St
418,-35.416431,149.121032,Norriss St opp Caroline Chisholm Senior School
419,-35.416575,149.120836,Caroline Chisholm Senior School Norriss St
420,-35.416041,149.130189,Hambidge Cr before Proctor St
421,-35.418268,149.12721200000001,Hambidge Cr opp 64
422,-35.418096999999996,149.12733500000002,64 Hambidge Cr
423,-35.416602000000005,149.129855,Hambidge Cr after 1st Alice Jackson Cr
424,-35.41953,149.125425,Baskerville St after Hambidge Cr
425,-35.419584,149.12533100000002,Baskerville St before Hambidge Cr
426,-35.422051,149.12438999999998,Baskerville St before 1st Laughton St
427,-35.421960999999996,149.124524,Baskerville St opp 2nd Laughton St
428,-35.424281,149.123477,Heagney Cr after Alston St
429,-35.424407,149.123683,Heagney Cr after 1st Muntz St
430,-35.424252,149.121332,Heagney Cr after Goldstein Cr
431,-35.424343,149.121259,Heagney Cr before 1st Moffin St
432,-35.424314,149.11744199999998,Heagney Cr after 2nd Mofflin St
433,-35.4242,149.117209,Heagney Cr opp 2nd McLorinan St
434,-35.427259,149.115792,Richardson Shops Clift Cr
435,-35.428668,149.118497,Clift Cr opp Meeson St
436,-35.428604,149.11858,Clift Cr before Meeson St
437,-35.427334,149.116004,Clift Cr opp Richardson Shops
438,-35.417691,149.137217,Louisa Lawson Cr before Gellatly Pl
439,-35.4176,149.13726,Louisa Lawson Cr after 1st May Maxwell Cr
440,-35.416144,149.13943799999998,Louisa Lawson Cr after Fenston Pl
441,-35.416088,149.13935800000002,Louisa Lawson Cr opp Fenston Pl
